3,"La fecha de entrega de tu pedido depende de diversos factores: Si tu pedido es nacional, se entregará en un plazo de entre 24 y 48 horas, Si tu pedido es importado, el proveedor debe proporcionar una fecha de entrega que puede ir desde una semana hasta 2 meses dependiendo de las políticas de importación y exportación de ambos países."
0,"Si tu paquete ha sido marcado como entregado pero tú no lo recibiste, asegúrate de revisar con algún recepcionista o vigilante; es muy común que los repartidores dejen los paquetes con ellos."
0,"Si estás seguro de que tu paquete no fue entregado, comunícate a nuestra línea de asistencia contra robo para poder reportar esta entrega, por otra parte, si el repartidor fue responsable, se realizará una devolución completa de tu pedido."
0,"La mayoría de los paquetes llegan a tiempo, pero a veces, el rastreo puede aparecer como ""entregado"" sin que hayas recibido tu paquete."
2,Verifica la dirección de envío y busca un mensaje que indique que no pudimos encontrar tu dirección.
0,"Revisa el entorno del punto de entrega y verifica si otra persona aceptó la entrega si usted no lo ha recibido, a menos que tu salud o seguridad se pongan en riesgo al hacerlo."
0,Algunos paquetes pasan por más de un transportista si ha perdido el trayecto de su paquete.
2,Consulta tu buzón u otros lugares donde recibes correo por si aún no recibiste tu paquete.
1,"Espera 48 antes de reportar el pedido; en algunos casos, los paquetes pueden marcarse como entregados hasta 48 horas antes de la entrega."
3,"Si no has recibido tu paquete en un plazo de 30 días posteriores a la entrega prevista, contáctanos y haremos todo lo posible para ayudarte."
0,"Si crees que tu paquete pudo haber sido robado, o no tienes idea qué pasó, tiene que comunicarse con un ejecutivo."
0,"Trabajamos con los siguientes transportistas para entregar los pedidos: UPS, DHL, Amazon, FedEx."
5,"Si tienes algún problema con tu entrega, puedes ponerte en contacto directamente con el transportista."
2,Es posible que veas ligeras diferencias en la información de rastreo que aparece en Mi cuenta y en la información del sitio web del transportista.
0,Cada transportista utiliza sus propios términos para indicar los estados de envío.
4,Amazon simplifica las actualizaciones en Mi cuenta para que resulten más fáciles de entender.
0,"El transportista intentó la entrega, pero no tuvo éxito; La mayoría de nuestros transportistas realizan más de un intento para entregar un paquete; si no pueden entregar con éxito el paquete, nos lo devolverán."
0,El paquete se dañó en tránsito; Si un paquete se daña durante el tránsito el transportista puede devolverlo sin intentar entregarlo.
0,No podemos volver a enviar pedidos que los transportistas nos devuelven como imposibles de entregar.
4,"Si aún quieres comprar artículos que resultaron imposibles de entregar, realiza un nuevo pedido en nuestro sitio web."
0,"Si sospechas que tu pedido no se puede entregar en la dirección, y no has recibido la confirmación de la devolución o reembolso cuatro semanas después de la fecha estimada de entrega te comunicaremos con un ejecutivo."
2,"Puedes encontrar la información de rastreo en los detalles del pedido: Si un pedido incluye varios productos, cada uno puede tener fechas de entrega e información de rastreo distintas."
2,"Los productos que envían los vendedores desde la plataforma de Amazon también pueden rastrearse, pero solo si el vendedor compartió esta información con Amazon y elegiste un método de envío rastreable."
0,"Cuando el transportista nos devuelve un paquete imposible de entregar, emitimos un reembolso completo (incluidos los costos de envío, excepto algunos cargos de manejo)."
5,Puedes mantenerte al tanto de tus devoluciones rastreándolas en Mis pedidos.
4,Solo las devoluciones con una etiqueta prepagada de Mis pedidos son rastreables.
1,"Para rastrear tu devolución: Ve a Mis pedidos, Junto al pedido, seleccione Ver Estado de devolución o reembolso."
3,"Si has recibido un pedido al que le falta un producto o alguna pieza, puedes iniciar un reembolso o reemplazo en Mis pedidos dependiendo de cómo se haya vendido o enviado el producto."
3,"Para los productos vendidos y enviados por Amazon México: Ve a Mis pedidos, Selecciona Devolver o reemplazar productos junto al producto al que le faltan piezas, Selecciona Reembolso o Reemplazo."
2,"Al devolver un producto, puedes elegir el método de reembolso que prefieras en Mis pedidos; el método de reembolso predeterminado es el método de pago utilizado para realizar la compra, pero si lo prefieres, puedes optar por recibir saldo de Amazon."
3,"Una vez que el transportista recibe tu producto, pueden pasar hasta dos semanas hasta que recibamos y procesamos tu devolución; después de recibir el producto, pueden pasar entre 3 y 5 días hábiles hasta que se procese tu devolución y se inicie el proceso de reembolso; pueden pasar 15 días naturales y hasta 2 ciclos de facturación hasta que el crédito aparezca en el estado de cuenta de tu tarjeta de crédito."
2,"Puedes verificar el estado de tu reembolso en Mis pedidos, si el reembolso no aparece como procesado en Mis pedidos y ha pasado el tiempo de procesamiento de tu método de pago, contáctanos."
3,"Para la mayoría de los productos, el plazo de devolución es de 30 días a partir de la fecha de entrega; para verificar el plazo de devolución del producto que compraste, ve a Mis pedidos y selecciona Devolver o reemplazar productos."
1,"Ve a Mis pedidos y selecciona el pedido que quieres cancelar, selecciona la casilla al lado de cada producto que quieres eliminar del pedido."
2,"Para cancelar todo el pedido, selecciona todos los productos, selecciona Cancelar los productos marcados cuando termines; después de enviar la cancelación, te mandaremos un mensaje de confirmación a la dirección de correo electrónico de tu cuenta."
1,"También puedes confirmar que el pedido se haya cancelado visitando Mis pedidos, si ves el pedido en la sección Pedidos cancelados, se ha cancelado correctamente."
0,"Si Amazon ha enviado tu pedido y no puede modificarse, puedes rechazar la entrega o devolver el paquete a través de nuestro Centro de devoluciones."
2,"Abre la app y selecciona el botón de menú en la esquina inferior derecha de la pantalla, desplázate hacia abajo hasta la parte inferior de la página; selecciona Configuración Selecciona ¿No eres tú? Cerrar sesión."
2,"No agregues tus cuentas de Amazon a un dispositivo público o compartido con personas desconocidas, ya que cualquier persona con acceso al dispositivo también tendrá acceso a tus cuentas."
2,"Cualquier cuenta nueva de Amazon que se agregue a tu aplicación móvil heredará automáticamente los permisos, como el acceso al álbum de la cámara, y las preferencias, como el idioma."
2,La actualización de la configuración de la aplicación en una cuenta de Amazon se aplica en las demás.
2,"Cuando cierres sesión en tu dispositivo, solo lo harás en dicho dispositivo específico."
2,"Si necesitas cerrar sesión en un dispositivo al que ya no tendrás acceso, inicia sesión en tu cuenta de Amazon desde un navegador de escritorio o móvil y visita la página Administrar contenido y dispositivos, luego en la pestaña Dispositivos selecciona tu dispositivo en la lista y elige Anular registro."
2,"Las cuentas con número de teléfono móvil son aquellas que se crean con un número de teléfono móvil en lugar de una dirección de correo electrónico; después de crear la cuenta, tienes que usar tu número de teléfono móvil para iniciar sesión en todos los tipos de plataforma."
2,"Si deseas agregar la opción de iniciar sesión con una dirección de correo electrónico, puedes hacerlo en Mi cuenta, Inicio de sesión y seguridad."
